Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
829,Jordan Walker,21,STL,NL,103,407,367,44,100,16,1,15,46,6,4,32,92,.272,.339,.444,.783,113,163,7,6,0,2,0,97/DH,walkejo02
830,Forrest Wall*,27,ATL,NL,8,4,4,3,1,1,0,0,0,2,1,0,2,.250,.250,.500,.750,94,2,0,0,0,0,0,/H7D8,wallfo01
831,Chad Wallach,31,LAA,AL,64,168,153,18,31,5,1,7,15,0,1,13,57,.203,.265,.386,.651,74,59,5,0,2,0,0,2/HD3,wallach01
832,Matt Wallner*,25,MIN,AL,64,213,180,34,43,7,1,12,33,2,1,21,68,.239,.357,.489,.846,130,88,0,12,0,0,0,79/DH,wallnma01
833,Taylor Walls#,26,TBR,AL,90,316,275,49,57,11,2,8,32,22,1,40,82,.207,.310,.349,.659,84,96,1,1,0,0,0,546/H,wallsta01
834,Jared Walsh*,29,LAA,AL,30,83,72,7,10,4,0,3,8,0,0,11,27,.139,.253,.319,.572,54,23,1,0,0,0,0,3/H9,walshja01
835,Taylor Ward,29,LAA,AL,97,409,356,60,90,18,0,14,47,4,2,39,80,.253,.335,.421,.756,104,150,9,8,0,6,0,7/H3,wardta01
836,Drew Waters#,24,KCR,AL,88,306,274,38,63,7,5,8,29,13,4,25,100,.230,.304,.380,.683,87,104,4,5,0,2,0,89/D7H,waterdr01
837,Austin Wells*,23,NYY,AL,9,38,34,2,4,2,0,0,4,0,0,2,10,.118,.162,.176,.339,-7,6,2,0,0,1,0,/2,wellsau01
838,Joey Wendle*,33,MIA,NL,105,304,284,32,63,16,3,2,20,7,0,12,64,.222,.256,.320,.576,56,91,7,2,3,3,0,*6/H,wendljo01
839,Hayden Wesneski,25,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wesneha01
840,Jordan Westburg,24,BAL,AL,58,202,184,24,50,15,2,3,21,4,1,14,44,.272,.322,.424,.746,107,78,3,1,0,3,0,45H/D,westbjo01
841,Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,.071,.235,.071,.307,-11,1,0,1,0,0,0,/8H,whiteel04
842,Garrett Whitlock,27,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,whitlga01
843,Joey Wiemer,24,MIL,NL,132,410,367,48,75,19,0,13,42,11,4,36,116,.204,.283,.362,.645,75,133,4,5,0,2,0,*89/H7,wiemejo01
844,Alika Williams,24,PIT,NL,40,103,92,7,20,5,0,0,6,0,0,9,30,.217,.294,.272,.566,56,25,2,1,1,0,0,6/H,willial04
